127.0.0.1 - - [09/Aug/2022:14:13:40 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:13:41 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 11637
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:13:42 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:13:42 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:13:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:13:51 +0900] "POST /WebProject3/jspCY/Netflix02_login_action.jsp HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:13:52 +0900] "GET /WebProject3/jspBR/p00.account.jsp HTTP/1.1" 500 4287
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:47 +0900] "GET /WebProject3/jspBR/p00.account.jsp HTTP/1.1" 200 8864
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:47 +0900] "GET /WebProject3/jspBR/css/p00.account.css HTTP/1.1" 200 4452
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:47 +0900] "GET /WebProject3/images/ab.png HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:47 +0900] "GET /WebProject3/images/%ED%94%84%EB%A1%9C%ED%95%840.jpg HTTP/1.1" 404 866
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:47 +0900] "GET /WebProject3/images/upload/test1234.jpeg HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:56 +0900] "GET /WebProject3/jspUJ/index.jsp?profile_id=2 HTTP/1.1" 200 8204
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:56 +0900] "GET /WebProject3/jspUJ/index.jsp?profile_id=2 HTTP/1.1" 200 8204
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:56 +0900] "GET /WebProject3/jspUJ/index.jsp?profile_id=2 HTTP/1.1" 200 134228
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:56 +0900] "GET /WebProject3/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:56 +0900] "GET /WebProject3/js/common-uj.js HTTP/1.1" 200 75685
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:56 +0900] "GET /WebProject3/jspUJ/css/netflix.css HTTP/1.1" 200 25758
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:57 +0900] "GET /WebProject3/images/playbutton.png HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:57 +0900] "GET /WebProject3/images/12.jpeg HTTP/1.1" 200 10424
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:57 +0900] "GET /WebProject3/images/18Gray.png HTTP/1.1" 200 5161
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:57 +0900] "GET /WebProject3/images/dibGray.png HTTP/1.1" 200 7404
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:57 +0900] "GET /WebProject3/images/15Gray.png HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:57 +0900] "GET /WebProject3/images/12Gray.png HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:57 +0900] "GET /WebProject3/images/15.jpeg HTTP/1.1" 200 28455
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:57 +0900] "GET /WebProject3/images/logo.png HTTP/1.1" 200 6332
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:58 +0900] "GET /WebProject3/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:24:58 +0900] "GET /WebProject3/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:25:01 +0900] "GET /WebProject3/jspBR/p05.account.jsp HTTP/1.1" 200 29367
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:25:01 +0900] "GET /WebProject3/jspBR/css/p05.account.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Aug/2022:14:25:01 +0900] "GET /WebProject3/js/common_headerBR.js HTTP/1.1" 304 -
