127.0.0.1 - - [16/Sep/2022:00:06:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:06:14 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:06:14 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:06:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:13:02 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:13:02 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7210
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:13:03 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:13:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:18:52 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:18:52 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:18:53 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:18:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:45:53 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:45:53 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7355
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:45:53 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:45:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:46:12 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12120
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:46:12 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:46:23 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:46:30 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12181
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:46:30 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7355
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:46:30 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:46:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:50:26 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12181
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:50:26 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:50:26 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:50:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:51:08 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12181
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:51:08 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7675
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:51:08 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:51:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:51:48 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12181
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:51:48 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7386
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:51:48 +0900] "GET /WebProject3/jspCY/img/kakao_login_medium_wide.png HTTP/1.1" 200 3307
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:51:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:59:09 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12181
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:59:09 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 200 7402
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:59:56 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12210
0:0:0:0:0:0:0:1 - - [16/Sep/2022:00:59:56 +0900] "GET /WebProject3/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2022:01:03:23 +0900] "GET /WebProject3/jspCY/Netflix02.jsp HTTP/1.1" 200 12210
